# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
#IDLE
11121	215	242	230	269	60
11111	175	242	190	269	60

#WALKING RIGHT
11222	255	242	270	269	60
11223	295	242	310	269	60

#WALKING LEFT
11212	135	242	150	269	60
11213	95	242	110	269	60

#RUNNING RIGHT
11321	213	322	232	349	60
11322	253	322	272	349	60
11323	293	322	312	349	60

#RUNNING LEFT
11311	173	322	192	349	60
11312	133	322	152	349	60
11313	93	322	112	349	60

#JUMP WALK RIGHT
11417	335	242	350	269	60
11413	55	242	70	269	60

#JUMP RUN RIGHT & LEFT
11427	332	362	351	389	60
11423	54	362	73	389	60

#SIT RIGHT & LEFT 
11521	376	248	391	265	60
11511	14	248	29	265	60

#BRACE RIGHT & LEFT 
11621	215	283	230	310	60
11611	175	283	190	310	60

#PICKING RIGHT & LEFT
11712	330	322	345	349	60
11711	60	322	75	349	60

#RUNNING & PICKING RIGHT & LEFT
11722	356	322	371	349	60
11721	34	322	49	349	60

#JUMP RUN PICKING
11732	253	362	272	389	60
11731	133	361	152	389	60

#DIE
13001	15	209	30	224	60



############ SMALL ################
 #IDLE
12121	215	89	230	104	60
12111	175	88	190	103	60

#WALK RIGHT
12222	255	89	270	104	60
12223	255	129	270	144	60

#WALK LEFT
12212	135	89	150	104	60
12213	135	129	150	144	60

#RUN RIGHT
12321	255	129	270	144	60
12322	215	169	230	184	60
12323	255	169	270	184	60

#RUN LEFT
12311	135	129	150	144	60
12312	175	169	190	184	60
12313	135	169	150	184	60

#BRACE RIGHT & LEFT
12511	215	129	230	144	60
12521	175	129	190	144	60

#JUMP WALK RIGHT & LEFT 
12413	55	89	70	104	60
12417	335	89	350	104	60

#JUMP RUN RIGHT & LEFT 
12423	175	209	190	224	60
12427	215	209	230	224	60

#PICKING RIGHT & LEFT
12612	335	168	350	184	60
12611	55	168	70	184	60

#RUNNING & PICKING RIGHT & LEFT
12622	376	168	391	184	60
12621	14	168	29	184	60

#JUMP RUN PICKING
12632	255	209	270	224	60
12631	135	209	150	224	60

########### HAS_TAIL ############

#IDLE
14121	211	443	232	470	60
14721	322	523	343	550	60
14726	291	563	312	590	60

14111	171	443	192	470	60
14711	62	523	83	550	60
14716	92	563	113	590	60

#WALKING RIGHT
14222	261	443	282	470	60
14223	291	443	312	470	60
#WALKING LEFT
14212	121	443	142	470	60
14213	91	443	112	470	60
#RUNNING RIGHT
14321	213	523	234	550	60
14322	253	523	274	550	60
14323	293	523	314	550	60


#RUNNING LEFT
14311	171	523	192	550	60
14312	131	523	152	550	60
14313	91	523	112	550	60
#JUMP WALK RIGHT
14417	331	443	352	470	60
14413	51	443	72	470	60
#JUMP RUN RIGHT & LEFT

###RIGHT - DOWN - UP
14427	291	603	314	630	60
14428	331	603	354	630	60

##LEFT - DOWN - UP
14423	91	603	114	630	60
14424	51	603	74	630	60

#SIT RIGHT & LEFT
14521	371	448	394	465	60
14511	11	448	34	465	60
#BRACE RIGHT & LEFT
14621	211	484	234	511	60
14611	171	484	194	511	60

#ATTACK
14631	236	443	259	470	60
14632	1	483	16	510	60
14633	146	443	169	470	60


#HOLD RIGHT LEFT
14722	351	523	374	550	60
14723	381	523	404	550	60

14712	31	523	54	550	60
14713	1	523	24	550	60
#KICK RIGHT LEFT
14821	247	483	274	510	60
14811	137	483	164	510	60
#FLY DOWN RIGHT LEFT
14751	252	603	275	630	60
14752	211	603	234	630	60
14753	291	443	314	470	60


14741	131	603	154	630	60
14742	171	603	194	630	60
14743	91	443	114	470	60

#POWER UP TO TAIL
14801	527	20	542	35	20
14802	544	20	559	35	20
14803	559	20	574	35	20

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

#POWER UP
300	11121	100	12121	100	11121	100	12121	100	11121	100	12121	100	11121	100
301	11111	100	12111	100	11111	100	12111	100	11111	100	12111	100	11111	100

400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	50	11322	50	11323	50
601	11311	50	11312	50	11313	50

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#PICKING
1051	11712	100
1052	11711	100

#PICKING N WALKING
1061	11712	100	11722	100
1062	11711	100	11721	100

#PICKING N RUNNING
1071	11712	50	11722	50
1072	11711	50	11721	50

#PICKING N JUMP
1081	11722	100
1082	11721	100

#PICKING N RUN JUNP
1091	11732	100
1092	11731	100


#DIE
999	13001	100

################### SMALL #################
1100	12121	100
1102	12111	100


#WALK LEFT & RIGHT 
1200	12121	100	12222	100	12223	100
1201	12111	100	12212	100	12213	100

#RUN LEFT & RIGHT
1300	12321	100	12322	100	12323	100
1301	12311	100	12312	100	12313	100

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100

#PICKING
1651	12612	100
1652	12611	100

#PICKING N WALKING
1661	12612	100	12622	100
1662	12611	100	12621	100

#PICKING N RUNNING
1671	12612	50	12622	50
1672	12611	50	12621	50

#PICKING N JUMP
1681	12622	100
1682	12621	100

#PICKING N RUN JUNP
1691	12632	100
1692	12631	100

###############TAIL################


2401	14121	100
2400	14111	100

#WALKING RIGHT & LEFT 
2501	14121	110	14222	110	14223	110
2500	14111	110	14212	110	14213	110

#RUNNING RIGHT & LEFT
2601	14321	5	14322	5	14323	5
2600	14311	5	14312	5	14313	5
#RUNNING PREPARE
2603	14121	50	14222	50	14223	50
2602	14111	50	14212	50	14213	50
#JUMP WALK
2701	14417	100
2700	14413	100

#JUMP RUN
2801	14427	100
2800	14423	100
#SIT RIGHT & LEFT 
2901	14521	100
2900	14511	100
#BRACE RIGHT & LEFT 
3001	14611	100
3000	14621	100
#ATTACK
3100	14631	100	14632	100	14633	100

#FLY_LEFT
3200	14423	100	14424	100
#FLY_RIGHT
3300	14427	100	14428	100

#HOLD RIGHT LEFT
3011	14721	100	14722	100	14723	100
3010	14711	100	14712	100	14713	100
#KICK RIGHT LEFT 
3021	14821	100
3020	14811	100
#IDLE HOLD
3041	14721	100
3040	14711	100
#JUMP HOLD RIGHT LEFT
3051	14726	100
3050	14716	100
#FLY DOWN RIGHT LEFT
3061	14751	50	14753	50	14752	50	14753	50
3060	14741	50	14743	50	14742	50	14743	50



3401	11121	100	12121	100
3400	11111	100	12111	100

3500	14803	50	14803	50	14802	50	14801	100	14802	50	14803	50	14803	50
3501	14803	50	14803	50	14802	50	14801	100	14802	50	14803	50	14803	50
